,company,drivertrain,exterior_color,interior_color,mile,photos,price,review_no,star,subname,title,transmission,vendor,video,year
43,Cadillac,4wd,Phantom Gray Metallic,Jet Black,27026,32,27511,82,5.0,CTS,Cadillac CTS 3.6L Luxury,6-speed,Faulkner Cadillac,1,2014
44,Chrysler,4wd,Black,Dark Frost Beige / Medium Frost Bei,73448,24,12999,11,5.0,Town,Chrysler Town & Country Touring,6-speed,I-80 Auto Sales,1,2014
45,Ford,4wd,White,Beige,93713,28,12499,11,5.0,Explorer,Ford Explorer Base,6-speed,I-80 Auto Sales,1,2011
46,Chevrolet,4wd,White,Gray,120898,29,8888,83,5.0,Traverse,Chevrolet Traverse LT,6-speed,Mr. C's Auto Mart,1,2009
47,Chevrolet,rwd,Blue Ray Metallic,Black,25384,32,33995,99,5.0,Camaro,Chevrolet Camaro ZL1,6-speed,Warwick Autopark,1,2013
48,BMW,4wd,White,Gray,53539,32,10995,434,5.0,325,BMW 325 325Ci,5-speed,RideSmart Auto,1,2006
49,Audi,4wd,Phantom Black Pearl,Black,95453,51,23500,64,5.0,A7,Audi A7 3.0T Prestige quattro,8-speed,Napleton's Aston Martin of Chicago,1,2012
50,Audi,4wd,Brilliant Black,Black,81607,23,18995,37,5.0,S5,Audi S5 4.2 Prestige quattro,6-speed,MINI of Chicago,1,2012
51,Chrysler,rwd,Blue,Gray,163117,28,2995,11,5.0,300,Chrysler 300 Base,4-speed,Moto Zone Inc.,1,2005
52,RAM,4wd,Black,Diesel Gray / Black,109819,32,20995,12,5.0,1500,RAM 1500 SLT,8-speed,Midwest Car Connect,1,2014
53,Dodge,rwd,Brilliant Black Pearl,Dark Slate Gray,60154,30,19995,37,5.0,Challenger,Dodge Challenger SRT8,6-speed,United Auto Exchange,1,2009
54,Mercedes-Benz,4wd,Black,Brown,112758,32,13495,17,5.0,5.5L,Mercedes-Benz 5.5L V8,7-speed,Luxury Imports Inc,1,2007
55,Mercury,4wd,Red,Tan,164726,31,3500,37,5.0,Mariner,Mercury Mariner 4dr 103 WB Premier 4WD,a,Nelson Automotive,0,2005
56,GMC,4wd,Summit White,Dark Titanium,214766,32,7995,10,5.0,Sierra,GMC Sierra 2500 Work Truck,6-speed,Highland Park Truck & Auto Center,1,2008
57,Ford,4wd,Red,Gray,175244,32,9995,10,5.0,F-150,Ford F-150 XLT,6-speed,Highland Park Truck & Auto Center,1,2011
58,Honda,4wd,Green Tea Metallic,Black,167073,32,6988,121,5.0,CR-V,Honda CR-V LX,5-speed,Bowman Auto Center,1,2009
59,Porsche,4wd,Black,Black,53515,26,16999,29,5.0,Cayenne,Porsche Cayenne Base,6-speed,Premier Auto,1,2009
60,Pontiac,4wd,Black,Ebony,107525,22,4999,29,5.0,G6,Pontiac G6 GTP,4-speed,Premier Auto,1,2006
